ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
5D1A66E8D0ED11FC,classic_bike,08:38.0,22:10.0,State St & Pearson St,TA1307000061,Canal St & Madison St,13341,41.897448,-87.628722,41.882409,-87.639767,member
5925D685277350D9,classic_bike,28:16.5,33:20.1,Green St & Randolph St*,chargingstx3,Elizabeth St & Randolph St,23001,41.88360166,-87.64862671,41.884336,-87.658902,member
951C5E6EAE818BEB,electric_bike,32:28.0,37:18.7,Aberdeen St & Jackson Blvd,13157,Elizabeth St & Randolph St,23001,41.87772613,-87.65478743,41.884336,-87.658902,member
B798E91DC2AD7F78,electric_bike,37:41.7,51:26.8,Larrabee St & Kingsbury St,TA1306000009,Southport Ave & Wrightwood Ave,TA1307000113,41.897764,-87.642884,41.928773,-87.663913,member
583DB1DF69A4F791,electric_bike,07:39.1,14:33.7,Larrabee St & Kingsbury St,TA1306000009,Franklin St & Lake St,TA1307000111,41.897764,-87.642884,41.885837,-87.6355,member
9B86EA5CE29D422D,electric_bike,41:27.9,53:17.6,Larrabee St & Kingsbury St,TA1306000009,Southport Ave & Wrightwood Ave,TA1307000113,41.897764,-87.642884,41.928773,-87.663913,member
3B5A33B09CB785A2,classic_bike,08:22.1,18:34.2,Kingsbury St & Kinzie St,KA1503000043,Franklin St & Lake St,TA1307000111,41.88917683,-87.63850577,41.885837,-87.6355,member
44F86847EDF89259,electric_bike,20:02.9,31:57.7,Larrabee St & Webster Ave,13193,Franklin St & Lake St,TA1307000111,41.921822,-87.64414,41.885837,-87.6355,member
7E47A840B402DA61,electric_bike,13:02.1,20:31.2,Clark St & Elm St,TA1307000039,Franklin St & Lake St,TA1307000111,41.902973,-87.63128,41.885837,-87.6355,member
EA61FFF7DA99B177,classic_bike,54:34.1,07:53.6,Clark St & Elm St,TA1307000039,Franklin St & Lake St,TA1307000111,41.902973,-87.63128,41.885837,-87.6355,member
446F80C48A7C2BCD,electric_bike,23:36.1,32:33.2,Indiana Ave & Roosevelt Rd,SL-005,Franklin St & Lake St,TA1307000111,41.867888,-87.623041,41.885837,-87.6355,member
A0569A517AA25F55,electric_bike,18:01.7,29:42.5,Campbell Ave & Augusta Blvd,410,Southport Ave & Wrightwood Ave,TA1307000113,41.899578,-87.689497,41.928773,-87.663913,member
8027A00CB25D314B,classic_bike,01:26.5,11:27.7,Dearborn St & Adams St,TA1305000005,Franklin St & Lake St,TA1307000111,41.87935636,-87.62979104,41.885837,-87.6355,member
C688CA88ECFFFA7C,electric_bike,58:43.1,04:40.1,Dearborn St & Erie St,13045,Franklin St & Lake St,TA1307000111,41.893992,-87.629318,41.885837,-87.6355,member
8B774B9642EEE613,electric_bike,05:53.0,12:07.6,Dearborn St & Erie St,13045,Franklin St & Lake St,TA1307000111,41.893992,-87.629318,41.885837,-87.6355,member
417CF0BD89853EA7,electric_bike,59:36.1,06:44.4,Dearborn St & Erie St,13045,Franklin St & Lake St,TA1307000111,41.893992,-87.629318,41.885837,-87.6355,member
D06F19260CBE74D4,classic_bike,22:35.1,28:45.2,State St & Randolph St,TA1305000029,Franklin St & Lake St,TA1307000111,41.88462107,-87.62783423,41.885837,-87.6355,member
3A6E66DCC92A29E3,electric_bike,53:28.4,09:21.3,Lincoln Ave & Roscoe St*,chargingstx5,Campbell Ave & North Ave,13257,41.94335025,-87.67066777,41.910535,-87.689556,member
B099B829140F9EDC,classic_bike,59:16.2,26:44.9,Albany Ave & Bloomingdale Ave,15655,Rockwell St & Eastwood Ave,KA1504000093,41.91402671,-87.70512646,41.96590014,-87.69363849,member
319AB97568FA314F,classic_bike,20:39.3,23:08.4,Wabash Ave & Grand Ave,TA1307000117,Wabash Ave & Grand Ave,TA1307000117,41.891466,-87.626761,41.891466,-87.626761,member
40F630523ACA10FB,classic_bike,51:54.3,55:31.0,Halsted St & Polk St,TA1307000121,Halsted St & Polk St,TA1307000121,41.87184,-87.64664,41.87184,-87.64664,member
FA43528B4636972C,electric_bike,06:01.7,20:26.4,Southport Ave & Clybourn Ave,TA1309000030,Halsted St & Fulton St,23003,41.9215759,-87.6664335,41.886871,-87.648089,member
